,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2016_RF_RandomUnder,0:00:32.769420,0.5338,0.5338,0.835,0.0841,0.4156,0.7186,2016,RF,non,RandomUnder
2016_RF_RandomUnder_norm,0:00:30.502314,0.5,0.5,0.0,0.0,0.3333,0.656,2016,RF,norm,RandomUnder
2016_RF_RandomUnder_stand,0:00:29.715832,0.5,0.5,0.0,0.0,0.3333,0.6504,2016,RF,stand,RandomUnder
2016_XGB,0:00:17.656335,0.8058,0.5509,0.4949,0.1348,0.7581,0.7119,2016,XGB,non,non
2016_XGB_norm,0:00:17.968101,0.6226,0.5673,0.2507,0.477,0.6583,0.597,2016,XGB,norm,non
2016_XGB_stand,0:00:18.238190,0.6615,0.5911,0.2801,0.4763,0.6898,0.6314,2016,XGB,stand,non
2016_XGB_SMOTE,0:00:22.312062,0.5263,0.5263,0.7213,0.0856,0.4121,0.7118,2016,XGB,non,SMOTE
2016_XGB_SMOTE_norm,0:00:23.726825,0.5041,0.5041,0.506,0.3507,0.4922,0.5238,2016,XGB,norm,SMOTE
2016_XGB_SMOTE_stand,0:00:22.948097,0.5181,0.5181,0.5286,0.3341,0.5012,0.5515,2016,XGB,stand,SMOTE
2016_XGB_RandomUnder,0:00:17.556380,0.5512,0.5512,0.8058,0.1348,0.4571,0.7137,2016,XGB,non,RandomUnder
2016_XGB_RandomUnder_norm,0:00:17.847759,0.5676,0.5676,0.5824,0.4776,0.5641,0.5964,2016,XGB,norm,RandomUnder
2016_XGB_RandomUnder_stand,0:00:20.319338,0.5785,0.5785,0.6041,0.4557,0.5721,0.6143,2016,XGB,stand,RandomUnder
2017_LR,0:00:11.203279,0.6544,0.6415,0.3514,0.6179,0.6803,0.6984,2017,LR,non,non
2017_LR_norm,0:00:11.079746,0.3711,0.5734,0.258,0.9438,0.3493,0.6922,2017,LR,norm,non
2017_LR_stand,0:00:11.123868,0.6145,0.6421,0.3324,0.6928,0.6457,0.6957,2017,LR,stand,non
2017_LR_SMOTE,0:00:13.076291,0.6436,0.6436,0.6501,0.6221,0.6434,0.7026,2017,LR,non,SMOTE
2017_LR_SMOTE_norm,0:00:12.971979,0.5851,0.5851,0.5482,0.9673,0.5142,0.6586,2017,LR,norm,SMOTE
2017_LR_SMOTE_stand,0:00:13.347115,0.6413,0.6413,0.6455,0.627,0.6413,0.6988,2017,LR,stand,SMOTE
2017_LR_RandomUnder,0:00:11.261150,0.6412,0.6412,0.6482,0.6179,0.6411,0.6984,2017,LR,non,RandomUnder
2017_LR_RandomUnder_norm,0:00:10.910569,0.5737,0.5737,0.5424,0.9438,0.5061,0.6926,2017,LR,norm,RandomUnder
2017_LR_RandomUnder_stand,0:00:10.979582,0.6421,0.6421,0.6481,0.6217,0.6419,0.6965,2017,LR,stand,RandomUnder
2017_NB,0:00:10.988042,0.7445,0.5928,0.4169,0.3148,0.7311,0.6893,2017,NB,non,non
2017_NB_norm,0:00:11.056930,0.773,0.5,0.0,0.0,0.6741,0.6099,2017,NB,norm,non
2017_NB_stand,0:00:11.051914,0.773,0.5,0.0,0.0,0.6741,0.6145,2017,NB,stand,non
2017_NB_SMOTE,0:00:13.111642,0.5824,0.5824,0.6947,0.2941,0.5446,0.6975,2017,NB,non,SMOTE
2017_NB_SMOTE_norm,0:00:13.427942,0.5,0.5,0.0,0.0,0.3333,0.6025,2017,NB,norm,SMOTE
2017_NB_SMOTE_stand,0:00:13.305535,0.5,0.5,0.0,0.0,0.3333,0.5877,2017,NB,stand,SMOTE
2017_NB_RandomUnder,0:00:10.522194,0.5917,0.5917,0.7056,0.3148,0.5578,0.6891,2017,NB,non,RandomUnder
2017_NB_RandomUnder_norm,0:00:10.518647,0.5,0.5,0.0,0.0,0.3333,0.6109,2017,NB,norm,RandomUnder
2017_NB_RandomUnder_stand,0:00:10.484461,0.5,0.5,0.0,0.0,0.3333,0.6071,2017,NB,stand,RandomUnder
